lvef_loss_weight	val_loss	rougeL	bleu4	meteor	bertscore_f1	lvef_loss	lvef_pearson	lvef_mae	lvef_auroc_le40	lvef_n	status
0.0	0.135973	0.737074	0.617404	0.746071	N/A	N/A	0.515198	8.528302	0.802480	106.000000	ok
0.01	0.136014	0.736693	0.617490	0.745465	N/A	N/A	0.505443	8.575472	0.796128	106.000000	ok
0.03	0.136089	0.737959	0.619327	0.746738	N/A	N/A	0.501887	8.764151	0.797943	106.000000	ok
0.05	1.042703	0.516694	0.368011	0.524931	N/A	N/A	0.574932	8.057143	0.752315	70.000000	ok
0.1	1.042116	0.517095	0.369164	0.524759	N/A	N/A	0.576119	8.014085	0.755114	71.000000	ok
0.2	0.135950	0.738320	0.619432	0.746652	N/A	N/A	0.527957	8.481132	0.805203	106.000000	ok
0.3	0.135938	0.738564	0.619700	0.746932	N/A	N/A	0.518516	8.575472	0.798851	106.000000	ok
0.5	0.136007	0.737726	0.618957	0.746146	N/A	N/A	0.516222	8.764151	0.799153	106.000000	ok
0.7	0.135949	0.736745	0.617488	0.745596	N/A	N/A	0.513042	8.764151	0.798548	106.000000	ok
1.0	0.135860	0.737979	0.619118	0.746522	N/A	N/A	0.523454	8.528302	0.797943	106.000000	ok
